time,u,x_true,c_true,y
0.0,0.5,0.0,1.0,0.004967141530112327
0.01,0.5025132079766705,0.0005,1.0,-0.0008826430117118466
0.02,0.5050260190886675,0.0010020132079766706,1.0,0.007478898588983596
0.03,0.5075380365339869,0.0015060372138573615,1.0,0.016736335777937615
0.04,0.5100488636359539,0.0020120692131774913,1.0,-0.00032946453405586834
0.05,0.5125581039058626,0.002520106007600268,1.0,0.00017873643810846235
0.06,0.5150653611055865,0.0030301440054985303,1.0,0.018822272160572445
0.07,0.5175702393101487,0.0035421792225986183,1.0,0.011216526514127707
0.08,0.520072342970243,0.004056207282686169,1.0,-0.0006385365766633528
0.09,0.5225712769746963,0.004572223418373726,1.0,0.009997823854233373
0.1,0.5250666467128609,0.005090222471930048,1.0,0.0004560455438054256
0.11,0.5275580581369276,0.005610198896170979,1.0,0.0009529013604684103
0.12,0.5300451178241514,0.0061321467554117355,1.0,0.008551769471072076
0.13,0.5325274330389768,0.006656059726480475,1.0,-0.012476742720097505
0.14,0.5350046117950552,0.0071819310997929715,1.0,-0.010067247225337358
0.15,0.5374762629171449,0.007709753780488234,1.0,0.0020868784880785068
0.16,0.5399419961028814,0.00823952028962489,1.0,-0.001888790913719348
0.17,0.5424014219844109,0.008771222765438147,1.0,0.011913696091390886
0.18,0.5448541521898762,0.00930485296465712,1.0,0.00022461220944501072
0.19,0.5472997994047449,0.00984040226388234,1.0,-0.004282634749470576
0.2,0.5497379774329709,0.010377861661023202,1.0,0.025034349350238745
0.21,0.5521683012579794,0.01091722177679515,1.0,0.008659458771929793
0.22,0.5545903871034651,0.011458472856276335,1.0,0.012133754903155573
0.23,0.5570038524939952,0.012001604770523524,1.0,-0.0022458770916110437
0.24,0.559408316315407,0.012546607018246995,1.0,0.007102779772995169
0.25,0.5618033988749895,0.013093468727544156,1.0,0.014202694624642817
0.26,0.5641887219614419,0.0136421786576916,1.0,0.002132242883468572
0.27,0.5665639089045973,0.01419272520099535,1.0,0.01794970538445207
0.28,0.5689285846349034,0.014745096384698952,1.0,0.008738709485510903
0.29,0.5712823757426502,0.015299279872949156,1.0,0.012382342375016389
0.3,0.5736249105369355,0.015855262968818857,1.0,0.009838196846524889
0.31,0.5759558191043602,0.016413032616386974,1.0,0.03493581446147635
0.32,0.5782747333674405,0.016972575402874945,1.0,0.016837603155495606
0.33,0.5805812871427325,0.01753387756083951,1.0,0.006956768271280507
0.34,0.5828751161986568,0.018096924970421403,1.0,0.026322374091453292
0.35000000000000003,0.5851558583130145,0.01866170316164964,1.0,0.006453266661939417
0.36,0.5874231533301866,0.019228197316801005,1.0,0.021316833266848557
0.37,0.5896766432180065,0.01979639227281439,1.0,0.00019969103401663163
0.38,0.5919159721242976,0.020366272523759582,1.0,0.007084412034775276
0.39,0.5941407864330666,0.02093782222336012,1.0,0.022906434582051355
0.4,0.5963507348203431,0.021511025187569827,1.0,0.028895690987523932
0.41000000000000003,0.5985454683096583,0.0220858648972026,1.0,0.023799547709102305
0.42,0.6007246403271522,0.022662324500615057,1.0,0.021505841676732654
0.43,0.6028879067563013,0.023240386816441593,1.0,0.020229349860548706
0.44,0.6050349259922592,0.023820034336381454,1.0,0.00903481443270718
0.45,0.6071653589957994,0.024401249228037332,1.0,0.017202807144090247
0.46,0.6092788693468538,0.024984013337805092,1.0,0.02037762562820722
0.47000000000000003,0.6113751232976377,0.02556830819381414,1.0,0.036139530456003294
0.48,0.6134537898253514,0.026154115008917962,1.0,0.029590297904602575
0.49,0.6155145406844535,0.026741414683734397,1.0,0.009111013130107058
0.5,0.6175570504584946,0.027330187809735115,1.0,0.030571027503683065
0.51,0.6195809966115038,0.027920414672383875,1.0,0.02406959186822071
0.52,0.6215860595389211,0.028512075254322995,1.0,0.021742855251263408
0.53,0.6235719226180669,0.029105149238607592,1.0,0.035221912127016274
0.54,0.6255382722581402,0.029699616011987052,1.0,0.04000961123694656
0.55,0.627484797949738,0.030295454668233204,1.0,0.03960825585939519
0.56,0.6294111923138889,0.03089264401151471,1.0,0.022500468779288324
0.5700000000000001,0.6313171511505913,0.031491162559817085,1.0,0.02839903880130494
0.58,0.6332023734868504,0.03209098854840786,1.0,0.0354036228624435
0.59,0.6350665616242048,0.032692099933346305,1.0,0.042447551204569896
0.6,0.6369094211857378,0.03329447439503717,1.0,0.028502732016584268
0.61,0.6387306611625609,0.03389808934182787,1.0,0.0320414995751897
0.62,0.6405299939597698,0.03450292191364861,1.0,0.023439572173588323
0.63,0.642307135441857,0.03510894898569473,1.0,0.02314688274488802
0.64,0.6440618049775814,0.03571614717215089,1.0,0.04384140539609287
0.65,0.6457937254842823,0.03632449282995632,1.0,0.04988689311566455
0.66,0.6475026234716348,0.03693396206261065,1.0,0.036213860846807305
0.67,0.6491882290848364,0.03754453072401967,1.0,0.04757985970293991
0.68,0.6508502761472208,0.038156174422380486,1.0,0.041772534672856826
0.6900000000000001,0.6524885022022896,0.03876886852410533,1.0,0.03231767097805408
0.7000000000000001,0.6541026485551579,0.03938258815778351,1.0,0.04299654421286765
0.71,0.6556924603134047,0.039997308218180885,1.0,0.05537767388284058
0.72,0.6572576864273239,0.04061300337027611,1.0,0.0402547429791766
0.73,0.658798079729567,0.04122964805333316,1.0,0.05687608461147322
0.74,0.6603133969741753,0.04184721648500939,1.0,0.015649765444111948
0.75,0.6618033988749895,0.04246568266549856,1.0,0.05068470770925079
0.76,0.6632678501434368,0.04308502038170805,1.0,0.04395549106408976
